Số lần mô phỏng,200
Chiến lược,Xác suất thắng
Giữ nguyên,0.16
Đổi lựa chọn,0.3

Lựa chọn ban đầu,Cửa dê hiển thị,Đổi lựa chọn,Kết quả
1,2,True,True
2,0,False,False
1,2,False,False
0,2,True,True
2,0,True,True
2,0,True,True
0,1,False,False
2,1,False,False
2,1,False,True
1,0,False,True
1,0,False,False
1,0,False,False
1,2,True,False
0,1,False,False
0,2,False,True
0,1,False,False
1,0,False,True
0,1,False,False
0,1,True,True
1,0,False,False
2,0,False,True
0,1,False,True
1,2,True,True
0,1,True,False
0,2,False,False
0,1,True,False
1,0,False,True
2,0,True,False
2,0,False,False
1,2,False,False
2,1,True,True
1,2,True,False
1,0,False,False
2,1,True,True
1,0,False,False
0,2,False,False
2,1,False,True
2,0,False,False
1,0,True,True
0,2,False,True
2,0,True,True
0,2,True,True
1,0,False,True
0,1,False,False
2,0,False,False
1,0,True,True
2,0,True,True
1,0,False,False
2,0,True,True
1,2,False,False
1,2,False,True
0,1,True,False
1,2,True,True
0,1,False,False
1,2,True,False
1,0,True,True
1,2,True,True
2,1,True,True
0,1,False,False
1,0,False,True
2,1,False,True
2,1,True,True
0,2,False,True
2,0,True,True
2,1,True,True
1,2,True,False
1,2,True,False
0,2,True,True
2,0,False,False
2,0,False,True
0,1,True,False
2,1,False,False
2,1,True,False
2,1,False,False
2,0,True,False
0,1,True,True
2,0,True,True
1,0,False,False
0,1,True,True
0,2,True,True
2,1,False,False
0,2,False,False
0,2,False,False
1,0,True,False
1,2,False,False
1,2,False,False
0,1,False,False
0,1,True,False
2,0,True,True
1,2,False,False
1,2,False,False
0,2,False,False
1,2,False,False
2,0,True,True
0,2,True,True
1,0,False,False
1,0,False,False
0,1,False,True
0,2,False,False
1,0,True,True
0,1,True,True
2,0,True,False
0,1,False,False
1,2,True,True
2,1,False,False
1,2,False,False
1,0,True,True
1,2,False,False
0,2,True,True
1,0,True,True
1,0,True,True
1,0,False,False
1,2,False,False
1,0,False,True
2,0,True,True
1,2,True,False
2,0,False,False
0,1,False,True
1,0,True,False
2,0,False,False
1,0,True,True
0,1,False,False
0,1,False,False
2,0,True,True
2,1,True,False
0,2,True,False
1,0,False,False
0,2,False,False
0,1,False,False
2,0,False,False
0,2,False,False
0,1,True,True
2,0,True,False
0,1,False,False
2,1,True,False
1,0,False,True
1,0,True,True
0,2,True,False
1,0,True,False
0,1,False,False
2,0,False,True
0,1,True,True
2,0,True,True
1,0,False,False
1,2,False,False
2,0,False,False
0,1,False,False
2,1,False,True
0,2,True,False
2,0,False,False
2,1,True,False
1,2,False,False
1,2,True,True
2,1,False,False
1,0,False,False
0,1,False,True
2,1,True,True
0,1,True,True
0,1,True,True
0,2,True,False
1,0,True,True
1,2,False,True
1,0,True,False
1,2,False,True
1,2,False,True
1,2,True,True
1,0,False,False
0,2,False,True
1,0,False,True
2,1,True,False
2,1,True,True
0,2,False,True
1,0,False,False
2,0,False,True
1,0,False,False
2,1,False,False
0,1,True,True
0,1,False,False
1,0,True,True
0,1,False,False
2,1,True,True
0,1,False,False
1,0,False,True
1,2,True,False
2,1,False,False
2,0,True,True
1,2,False,False
0,1,False,True
1,2,True,True
1,0,False,False
0,2,True,True
2,1,True,True
1,2,True,True
2,0,True,True
0,2,False,False
0,2,False,False
0,2,True,False
2,0,True,False
0,2,False,True
1,2,True,True
